Time;Voltage;Current;T1;T2
181;3559;1005;29.014765;34.444969
182;3556;999;29.014765;34.444969
183;3556;1005;29.014765;34.444969
184;3559;998;28.987909;34.470177
185;3559;1006;29.014765;34.444969
186;3559;1005;29.014765;34.470177
187;3561;998;28.961023;34.470177
188;3561;1005;28.987909;34.495415
189;3563;997;28.961023;34.470177
190;3565;998;28.961023;34.470177
191;3563;1004;28.961023;34.444969
192;3565;998;28.934107;34.470177
193;3565;1004;28.934107;34.495415
194;3565;1005;28.907221;34.520653
195;3565;998;28.907221;34.470177
196;3567;1004;28.934107;34.495415
197;3567;997;28.907221;34.470177
198;3570;997;28.907221;34.470177
199;3570;1005;28.934107;34.444969
200;3572;997;28.934107;34.470177
201;3570;1005;28.934107;34.470177
202;3574;998;28.907221;34.444969
203;3574;1005;28.934107;34.444969
204;3574;998;28.907221;34.444969
205;3574;998;28.907221;34.470177
206;3574;999;28.934107;34.470177
207;3576;998;28.853388;34.444969
208;3579;1005;28.934107;34.470177
209;3576;999;28.907221;34.444969
210;3579;997;28.907221;34.470177
211;3579;1007;28.907221;34.470177
212;3579;997;28.880274;34.470177
213;3579;1005;28.907221;34.470177
214;3581;999;28.907221;34.470177
215;3581;1006;28.907221;34.444969
216;3583;997;28.907221;34.470177
217;3585;996;28.907221;34.470177
218;3583;1004;28.934107;34.470177
219;3585;998;28.880274;34.470177
220;3585;1004;28.907221;34.470177
221;3585;997;28.880274;34.470177
222;3588;1005;28.907221;34.470177
223;3588;1004;28.907221;34.444969
224;3590;1004;28.907221;34.444969
225;3588;1005;28.880274;34.419731
226;3590;1005;28.907221;34.419731
227;3592;999;28.907221;34.419731
228;3590;997;28.907221;34.419731
229;3592;1004;28.934107;34.419731
230;3592;996;28.907221;34.444969
231;3592;997;28.880274;34.444969
232;3592;1005;28.907221;34.419731
233;3594;996;28.880274;34.394463
234;3597;1000;28.880274;34.369194
235;3597;1003;28.880274;34.419731
236;3594;1004;28.853388;34.369194
237;3597;1005;28.853388;34.394463
238;3597;998;28.880274;34.394463
239;3597;1004;28.907221;34.394463
240;3597;1004;28.880274;34.394463
241;3597;1005;28.907221;34.419731
242;3599;998;28.880274;34.419731
243;3599;1004;28.880274;34.419731
244;3599;1004;28.907221;34.419731
245;3601;999;28.907221;34.419731
246;3601;998;28.907221;34.419731
247;3601;1003;28.907221;34.419731
248;3603;1004;28.880274;34.419731
249;3601;1005;28.880274;34.444969
250;3605;997;28.853388;34.444969
251;3603;1004;28.907221;34.444969
252;3605;997;28.826441;34.419731
253;3605;999;28.880274;34.444969
254;3605;1004;28.907221;34.419731
255;3605;998;28.880274;34.419731
256;3608;1004;28.907221;34.419731
257;3608;999;28.907221;34.419731
258;3608;1003;28.907221;34.444969
259;3608;997;28.853388;34.419731
260;3608;1005;28.907221;34.470177
261;3610;996;28.880274;34.419731
262;3612;996;28.907221;34.444969
263;3610;1004;28.880274;34.419731
264;3612;999;28.907221;34.419731
265;3612;1004;28.880274;34.419731
266;3612;998;28.853388;34.419731
267;3612;1004;28.880274;34.419731
268;3614;1004;28.853388;34.394463
269;3614;996;28.826441;34.394463
270;3614;1003;28.853388;34.394463
271;3614;997;28.853388;34.394463
272;3614;1005;28.853388;34.419731
273;3617;996;28.880274;34.394463
274;3617;1003;28.853388;34.369194
275;3617;998;28.853388;34.394463
276;3617;996;28.826441;34.394463
277;3617;1005;28.826441;34.419731
278;3619;997;28.826441;34.419731
279;3619;1004;28.826441;34.444969
280;3619;998;28.745569;34.394463
281;3619;1003;28.799494;34.369194
282;3619;996;28.772547;34.318687
283;3619;1004;28.826441;34.318687
284;3621;1003;28.826441;34.318687
285;3621;996;28.826441;34.343956
286;3621;997;28.826441;34.369194
287;3621;1003;28.826441;34.343956
288;3623;998;28.826441;34.369194
289;3623;997;28.826441;34.369194
290;3623;998;28.826441;34.369194
291;3626;998;28.826441;34.369194
292;3623;998;28.826441;34.369194
293;3623;996;28.799494;34.343956
294;3623;1003;28.826441;34.343956
295;3626;998;28.826441;34.318687
296;3626;1005;28.799494;34.343956
297;3626;1002;28.799494;34.343956
298;3626;996;28.799494;34.343956
299;3626;1004;28.799494;34.369194
300;3628;997;28.799494;34.343956
301;3628;1006;28.772547;34.343956
302;3628;998;28.745569;34.369194
303;3628;1003;28.745569;34.318687
304;3628;996;28.745569;34.343956
305;3628;1005;28.718561;34.343956
306;3628;1005;28.745569;34.318687
307;3628;998;28.691584;34.293388
308;3630;1005;28.691584;34.318687
309;3628;1005;28.718561;34.318687
310;3630;996;28.664576;34.318687
311;3630;997;28.691584;34.318687
312;3630;1005;28.691584;34.343956
313;3630;998;28.718561;34.293388
314;3630;1005;28.718561;34.318687
315;3628;1005;28.718561;34.318687
316;3632;997;28.718561;34.343956
317;3630;1004;28.691584;34.343956
318;3630;997;28.691584;34.343956
319;3632;1005;28.664576;34.318687
320;3632;1004;28.637598;34.293388
321;3632;996;28.664576;34.26812
322;3632;997;28.637598;34.26812
323;3632;1006;28.691584;34.318687
324;3632;1004;28.691584;34.293388
325;3632;1005;28.718561;34.318687
326;3632;1004;28.718561;34.318687
327;3635;997;28.691584;34.343956
328;3632;1005;28.772547;34.343956
329;3632;1004;28.745569;34.343956
330;3632;997;28.772547;34.318687
331;3635;1005;28.799494;34.318687
332;3635;998;28.772547;34.318687
333;3632;1005;28.772547;34.318687
334;3632;1005;28.799494;34.318687
335;3635;996;28.745569;34.318687
336;3635;1004;28.745569;34.318687
337;3635;1003;28.745569;34.293388
338;3635;1004;28.772547;34.293388
339;3637;997;28.745569;34.293388
340;3635;1002;28.745569;34.318687
341;3635;1004;28.718561;34.26812
342;3635;1003;28.745569;34.318687
343;3635;1002;28.691584;34.26812
344;3637;1002;28.772547;34.293388
345;3635;997;28.772547;34.318687
346;3637;1004;28.772547;34.293388
347;3637;997;28.799494;34.318687
348;3635;1003;28.745569;34.318687
349;3637;999;28.745569;34.318687
350;3637;1003;28.772547;34.318687
351;3637;997;28.718561;34.318687
352;3637;996;28.745569;34.318687
353;3637;1003;28.745569;34.318687
354;3637;996;28.718561;34.26812
355;3637;1003;28.718561;34.318687
356;3637;997;28.718561;34.318687
357;3637;1005;28.718561;34.318687
358;3637;1005;28.745569;34.293388
359;3637;996;28.718561;34.26812
360;3637;1004;28.745569;34.293388
361;3637;1003;28.718561;34.293388
362;3639;996;28.718561;34.293388
363;3637;1003;28.745569;34.293388
364;3639;996;28.745569;34.318687
365;3639;1003;28.718561;34.293388
366;3639;996;28.745569;34.293388
367;3637;1004;28.745569;34.293388
